,weather_main,weather,wind
408,dry,Dry with temperatures approaching 25 °C (77 °F); wind speeds up to 20.5 km/h (12.7 mph),False
409,dry,Cloudy and hot with temperatures reaching up to 91 °F (33 °C); wind speeds up to 23 miles per hour (37 km/h),False
410,dry,Dry,False
411,dry,Sunny,False
412,dry,Dry,False
413,nan,,False
414,dry,Dry,False
415,dry,Dry,False
416,dry,Dry,False
417,dry,Sunny and hot,False
418,dry,Sunny,False
419,dry,"Dry, 34 °C (93 °F) air temperature",False
420,changing,"Overcast, Cold, Rain",False
421,nan,,False
422,dry,Dry,False
423,dry,Sunny with temperatures approaching 20.5 °C (68.9 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph),False
424,dry,Clear and cool with temperatures reaching up to 80.1 °F (26.7 °C); wind speeds up to 23 miles per hour (37 km/h),False
425,dry,"Dry, hot",False
426,dry,"Cool, overcast",False
427,dry,Dry,False
428,dry,Dry,False
429,dry,Sunny,False
430,dry,Dry,False
431,changing,"Wet/Dry, drying up in later stages",False
432,nan,,False
433,dry,Dry,False
434,dry,Sunny,False
435,dry,Dry,False
436,dry,Dry,False
437,nan,,False
438,nan,,False
439,dry,Dry,False
440,wet,Heavy rain and spray,False
441,dry,Dry with temperatures approaching 26 °C (79 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph),False
442,dry,Sunny and warm with temperatures reaching up to 77.9 °F (25.5 °C); wind speeds up to 11.3 miles per hour (18.2 km/h),False
443,dry,Sunny with temperatures reaching up to 100 °F (38 °C); wind speeds approaching speeds up to 14 miles per hour (23 km/h),False
444,nan,,False
445,dry,Dry,False
446,dry,Dry,False
447,dry,Sunny,False
448,dry,Dry,False
449,dry,Sunny,False
450,dry,Dry,False
451,dry,Dry,False
452,dry,Sunny and warm with temperatures reaching up to 65.8 °F (18.8 °C); wind speeds approaching speeds up to 9.9 miles per hour (15.9 km/h),False
453,dry,"Dry, grey and cool",False
454,nan,,False
455,wet,Wet track at the start,False
456,nan,,False
457,dry,Sunny and warm with temperatures reaching up to 76.8 °F (24.9 °C); wind speeds up to 11.3 miles per hour (18.2 km/h),False
458,dry,Warm with temperatures approaching 30 °C (86 °F); wind speeds up to 15 kilometres per hour (9.3 mph),False
459,nan,,False
460,dry,Dry,False
461,dry,Dry,False
462,dry,Cloudy,False
463,dry,Dry,False
464,dry,Dry,False
465,dry,Dry,False
466,dry,Dry,False
467,dry,Dry,False
468,dry,Clear and warm with temperatures reaching up to 63.9 °F (17.7 °C); wind speeds approaching speeds up to 11.8 miles per hour (19.0 km/h),False
469,nan,,False
470,dry,Cold with air temperatures reaching up to 13 °C (55 °F),False
471,changing,"Dry, then Wet",False
472,dry,Sunny and warm with temperatures reaching up to 72 °F (22 °C); wind speeds up to 16.1 miles per hour (25.9 km/h),False
473,dry,Overcast and chilly,False
474,dry,Cloudy,False
475,nan,,False
476,dry,Dry,False
477,dry,Dry,False
478,dry,"Sunny, hot",False
479,nan,,False
480,dry,Dry,False
481,dry,Sunny with temperatures reaching up to 98.8 °F (37.1 °C); wind speeds approaching speeds up to 18.1 miles per hour (29.1 km/h),False
482,dry,Sunny and warm with temperatures reaching up to 71.1 °F (21.7 °C); wind speeds approaching 10.9 miles per hour (17.5 km/h),False
483,changing,"Overcast, Fresh, Rain",False
484,dry,"Sunny, dry",False
485,wet,"Rain, cold",False
486,changing,"Dry, then wet at the end",False
487,dry,Dry,False
488,dry,"Sunny, hot",False
489,changing,"Dry, then wet at half distance, then dry again",False
490,dry,Dry,False
491,changing,Wet / Dry,False
492,dry,"Mild, Dry",False
493,dry,"Sunny, dry",False
494,dry,Dry and sunny,False
495,wet,Wet and cold with temperatures up to 20 °C (68 °F); wind speeds up to 15 kilometres per hour (9.3 mph),False
496,dry,Sunny with temperatures reaching up to 75 °F (24 °C); wind speeds approaching speeds up to 11.1 miles per hour (17.9 km/h),False
497,dry,"Sunny, Very hot, Dry",False
498,dry,Dry,False
499,dry,Dry,False
500,dry,Sunny and warm with temperatures reaching up to 81 °F (27 °C); wind speeds up to 10.9 miles per hour (17.5 km/h),False
501,nan,,False
502,changing,"Dry at the start, damp in the end",False
503,dry,Dry,False
504,nan,,False
505,dry,"Overcast, Dry",False
506,dry,"Mild, Dry",False
507,dry,"Sunny, Mild, Dry",False
508,dry,"Sunny, Mild, Dry",False
509,dry,Cold and dry with temperatures reaching up to 11 °C (52 °F); wind speeds up to 15.9 kilometres per hour (9.9 mph),False
510,dry,Cloudy and dry with temperatures reaching up to 12 °C (54 °F);,False
511,dry,Dry,False
512,dry,Dry,False
513,wet,Wet,False
514,dry,Sunny and warm with temperatures reaching up to 66 °F (19 °C); winds gusting up to 8 miles per hour (13 km/h),False
515,dry,Dry,False
516,nan,,False
517,dry,Dry,False
518,nan,,False
519,dry,Dry,False
520,dry,Dry,False
521,dry,Dry,False
522,dry,Dry,False
523,dry,Dry and sunny,False
524,dry,"Partially cloudy, mild and dry with temperatures reaching up to 21 °C (70 °F); wind speeds up to 18.3 kilometres per hour (11.4 mph)",False
525,wet,Rain with temperatures reaching a maximum of 15 °C (59 °F);,False
526,dry,Dry,False
527,dry,"Very hot and humid, 100.4°F (38°C)",False
528,dry,Dry,False
529,dry,Scattered clouds ,False
530,dry,Dry,False
531,nan,,False
532,dry,Dry,False
533,dry,Sunny and warm,False
534,dry,Dry,False
535,dry,Dry,False
536,dry,Dry,False
537,wet,Wet,False
538,dry,Dry,False
539,dry,Sunny,False
540,dry,"Cloudy, dry",False
541,dry,Mostly cloudy,False
542,dry,Dry,False
543,dry,Dry,False
544,dry,Sunny,False
545,dry,Sunny with temperatures reaching up to 68 °F (20 °C); winds gusting up to 10.9 miles per hour (17.5 km/h),False
546,nan,,False
547,dry,Dry,False
548,nan,,False
549,dry,Dry,False
550,nan,,False
551,dry,Sunny,False
552,dry,Dry,False
553,changing,"Wet, then drying",False
554,dry,Dry,False
555,dry,Dry,False
556,wet,Rain with temperatures reaching up to 17 °C (63 °F);,False
557,dry,Cold with temperatures approaching 12 °C (54 °F); wind speeds up to 12.8 kilometres per hour (8.0 mph),False
558,dry,Dry,False
559,dry,Sunny,False
560,dry,Sunny,False
561,dry,Hot and sunny with temperatures reaching up to 70 °F (21 °C); wind speeds approaching speeds up to 15 miles per hour (24 km/h),False
562,nan,,False
563,nan,,False
564,dry,Dry,False
565,dry,Dry,False
566,nan,,False
567,dry,Dry,False
568,changing,"Rain at start, later drying",False
569,nan,,False
570,dry,"Warm, dry",False
571,nan,,False
572,dry,Mild with temperatures approaching 22 °C (72 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph),False
573,dry,Sunny with temperatures reaching up to 16 °C (61 °F);,False
574,changing,"Very wet and misty, eventually drying",False
575,dry,Hot and sunny,False
576,nan,,False
577,dry,Sunny,False
578,dry,Sunny,False
579,changing,"Rain, later drying",False
580,nan,,False
581,nan,,False
582,changing,"Wet, drying later",False
583,dry,Dry and sunny,False
584,changing,"Sunny, then overcast, then heavy rain",False
585,dry,Dry and sunny,False
586,wet,Heavy rain,False
587,nan,,False
588,dry,Partly sunny with temperatures reaching a maximum of 20.6 °C (69.1 °F);,False
589,dry,Hot and sunny,False
590,dry,"Hot and partially cloudy in the first phase, then seasonal monsoon later.",False
591,nan,,False
592,nan,,False
593,nan,,False
594,nan,,False
595,nan,,False
596,nan,,False
597,nan,,False
598,nan,,False
599,changing,"Overcast, showers",False
600,nan,,False
601,nan,,False
602,nan,,False
603,dry,"Clear, warm",False
604,nan,,False
605,dry,Sunny and hot,False
606,dry,"Sunny, Hot, Dry",False
607,nan,,False
608,dry,"Warm, dry",False
609,nan,,False
610,nan,,False
611,nan,,False
612,dry,Dry,False
613,dry,Dry,False
614,dry,Dry,False
615,nan,,False
616,nan,,False
617,dry,Mild with temperatures approaching 22.2 °C (72.0 °F); wind speeds up to 11.8 kilometres per hour (7.3 mph),False
